Station,Zooplankton,Abundance,Latitude,Longitude,Station Depth (m)
MVCO,Acartia,929.2502268,41.325,-70.5667,17
MVCO,Calanus finmarchicus,29.98581095,41.325,-70.5667,17
MVCO,Centropages typicus,902.2148184,41.325,-70.5667,17
MVCO,Chaetognatha,6.442575679,41.325,-70.5667,17
MVCO,Oithona,24.03701755,41.325,-70.5667,17
MVCO,Pseudocalanus minutus,158.9645746,41.325,-70.5667,17
L1,Acartia,62.91989428,41.1967,-70.8833,21
L1,Calanus finmarchicus,15.3765977,41.1967,-70.8833,21
L1,Centropages typicus,4476.763519,41.1967,-70.8833,21
L1,Chaetognatha,22.3223373,41.1967,-70.8833,21
L1,Oithona,35.05658897,41.1967,-70.8833,21
L1,Pseudocalanus minutus,272.4042366,41.1967,-70.8833,21
L2,Acartia,4.223530814,41.03,-70.8833,47
L2,Calanus finmarchicus,83.46738137,41.03,-70.8833,47
L2,Centropages typicus,1223.701156,41.03,-70.8833,47
L2,Chaetognatha,47.56270204,41.03,-70.8833,47
L2,Oithona,111.7851187,41.03,-70.8833,47
L2,Pseudocalanus minutus,253.3274953,41.03,-70.8833,47
L3,Acartia,2.780647015,40.8633,-70.8833,58
L3,Calanus finmarchicus,187.9510296,40.8633,-70.8833,58
L3,Centropages typicus,418.8896796,40.8633,-70.8833,58
L3,Chaetognatha,41.87117548,40.8633,-70.8833,58
L3,Oithona,43.16403317,40.8633,-70.8833,58
L3,Pseudocalanus minutus,63.17741629,40.8633,-70.8833,58
L4,Acartia,0.542522443,40.6967,-70.8833,68
L4,Calanus finmarchicus,299.7878395,40.6967,-70.8833,68
L4,Centropages typicus,253.5435399,40.6967,-70.8833,68
L4,Chaetognatha,43.88579851,40.6967,-70.8833,68
L4,Oithona,39.61250977,40.6967,-70.8833,68
L4,Pseudocalanus minutus,76.18922839,40.6967,-70.8833,68
L5,Acartia,0.906885621,40.5133,-70.8833,75
L5,Calanus finmarchicus,126.5044463,40.5133,-70.8833,75
L5,Centropages typicus,159.6637851,40.5133,-70.8833,75
L5,Chaetognatha,18.88094962,40.5133,-70.8833,75
L5,Oithona,28.29760186,40.5133,-70.8833,75
L5,Pseudocalanus minutus,19.08051615,40.5133,-70.8833,75
L6,Acartia,0.121624678,40.3633,-70.8833,95
L6,Calanus finmarchicus,81.75719688,40.3633,-70.8833,95
L6,Centropages typicus,66.21574575,40.3633,-70.8833,95
L6,Chaetognatha,13.78519902,40.3633,-70.8833,95
L6,Oithona,16.22383041,40.3633,-70.8833,95
L6,Pseudocalanus minutus,19.3436372,40.3633,-70.8833,95
L7,Acartia,0.475929548,40.2575,-70.8833,120
L7,Calanus finmarchicus,37.43167558,40.2575,-70.8833,120
L7,Centropages typicus,45.41242831,40.2575,-70.8833,120
L7,Chaetognatha,8.525114344,40.2575,-70.8833,120
L7,Oithona,27.32553913,40.2575,-70.8833,120
L7,Pseudocalanus minutus,6.476998232,40.2575,-70.8833,120
L8,Acartia,0.496429916,40.1517,-70.8833,137
L8,Calanus finmarchicus,8.517651497,40.1517,-70.8833,137
L8,Centropages typicus,11.61724583,40.1517,-70.8833,137
L8,Chaetognatha,8.419767141,40.1517,-70.8833,137
L8,Oithona,3.186016691,40.1517,-70.8833,137
L8,Pseudocalanus minutus,0.860077118,40.1517,-70.8833,137
L9,Acartia,0.21010262,40.0458,-70.8833,205
L9,Calanus finmarchicus,24.16795806,40.0458,-70.8833,205
L9,Centropages typicus,5.830670377,40.0458,-70.8833,205
L9,Chaetognatha,5.952264533,40.0458,-70.8833,205
L9,Oithona,7.601499973,40.0458,-70.8833,205
L9,Pseudocalanus minutus,1.915192911,40.0458,-70.8833,205
L10,Acartia,0.114422486,39.94,-70.8833,462
L10,Calanus finmarchicus,0.429866976,39.94,-70.8833,462
L10,Centropages typicus,15.17235232,39.94,-70.8833,462
L10,Chaetognatha,2.276169571,39.94,-70.8833,462
L10,Oithona,3.355851652,39.94,-70.8833,462
L10,Pseudocalanus minutus,1.123809478,39.94,-70.8833,462
L11,Acartia,0.25799932,39.7733,-70.8833,1604
L11,Calanus finmarchicus,0.202529972,39.7733,-70.8833,1604
L11,Centropages typicus,13.54518586,39.7733,-70.8833,1604
L11,Chaetognatha,2.650751158,39.7733,-70.8833,1604
L11,Oithona,2.532906504,39.7733,-70.8833,1604
L11,Pseudocalanus minutus,0.063175584,39.7733,-70.8833,1604
