Station,Zooplankton Name,Abundance (count/m3),Latitude (deg N),Longitude (deg W),Station Depth (m)
MVCO,Acartia,574.6596235,41.325,-70.5667,17
MVCO,Calanus finmarchicus,16.75114604,41.325,-70.5667,17
MVCO,Centropages typicus,544.6853469,41.325,-70.5667,17
MVCO,Chaetognatha,3.178393934,41.325,-70.5667,17
MVCO,Oithona,12.41774388,41.325,-70.5667,17
MVCO,Pseudocalanus minutus,98.2760613,41.325,-70.5667,17
L1,Acartia,38.13820691,41.1967,-70.8833,21
L1,Calanus finmarchicus,13.12803753,41.1967,-70.8833,21
L1,Centropages typicus,2671.791198,41.1967,-70.8833,21
L1,Chaetognatha,13.6300087,41.1967,-70.8833,21
L1,Oithona,23.5855905,41.1967,-70.8833,21
L1,Pseudocalanus minutus,192.9280554,41.1967,-70.8833,21
L2,Acartia,4.868447168,41.03,-70.8833,47
L2,Calanus finmarchicus,101.3150176,41.03,-70.8833,47
L2,Centropages typicus,1572.364593,41.03,-70.8833,47
L2,Chaetognatha,51.75847664,41.03,-70.8833,47
L2,Oithona,155.6415851,41.03,-70.8833,47
L2,Pseudocalanus minutus,342.1302905,41.03,-70.8833,47
L3,Acartia,3.944759624,40.8633,-70.8833,58
L3,Calanus finmarchicus,218.5217316,40.8633,-70.8833,58
L3,Centropages typicus,440.8653028,40.8633,-70.8833,58
L3,Chaetognatha,48.57581956,40.8633,-70.8833,58
L3,Oithona,47.07141745,40.8633,-70.8833,58
L3,Pseudocalanus minutus,71.49725029,40.8633,-70.8833,58
L4,Acartia,0.978551243,40.6967,-70.8833,68
L4,Calanus finmarchicus,242.355002,40.6967,-70.8833,68
L4,Centropages typicus,342.9306348,40.6967,-70.8833,68
L4,Chaetognatha,61.75426246,40.6967,-70.8833,68
L4,Oithona,62.62599006,40.6967,-70.8833,68
L4,Pseudocalanus minutus,93.02387946,40.6967,-70.8833,68
L5,Acartia,1.066198745,40.5133,-70.8833,75
L5,Calanus finmarchicus,191.5731746,40.5133,-70.8833,75
L5,Centropages typicus,238.7885132,40.5133,-70.8833,75
L5,Chaetognatha,25.58868504,40.5133,-70.8833,75
L5,Oithona,36.84480564,40.5133,-70.8833,75
L5,Pseudocalanus minutus,29.64754511,40.5133,-70.8833,75
L6,Acartia,0.433826382,40.3633,-70.8833,95
L6,Calanus finmarchicus,126.8497557,40.3633,-70.8833,95
L6,Centropages typicus,131.3468177,40.3633,-70.8833,95
L6,Chaetognatha,22.01100071,40.3633,-70.8833,95
L6,Oithona,32.40896762,40.3633,-70.8833,95
L6,Pseudocalanus minutus,34.50606673,40.3633,-70.8833,95
L7,Acartia,0.91673795,40.2575,-70.8833,120
L7,Calanus finmarchicus,69.1846131,40.2575,-70.8833,120
L7,Centropages typicus,106.1377514,40.2575,-70.8833,120
L7,Chaetognatha,16.86268424,40.2575,-70.8833,120
L7,Oithona,49.18091164,40.2575,-70.8833,120
L7,Pseudocalanus minutus,12.21286432,40.2575,-70.8833,120
L8,Acartia,1.287470226,40.1517,-70.8833,137
L8,Calanus finmarchicus,15.46947632,40.1517,-70.8833,137
L8,Centropages typicus,26.32082446,40.1517,-70.8833,137
L8,Chaetognatha,16.61331944,40.1517,-70.8833,137
L8,Oithona,6.938598824,40.1517,-70.8833,137
L8,Pseudocalanus minutus,2.308669962,40.1517,-70.8833,137
L9,Acartia,0.64096511,40.0458,-70.8833,205
L9,Calanus finmarchicus,51.82868554,40.0458,-70.8833,205
L9,Centropages typicus,15.30497669,40.0458,-70.8833,205
L9,Chaetognatha,18.07853829,40.0458,-70.8833,205
L9,Oithona,16.26273,40.0458,-70.8833,205
L9,Pseudocalanus minutus,4.978299803,40.0458,-70.8833,205
L10,Acartia,0.376490058,39.94,-70.8833,462
L10,Calanus finmarchicus,1.647158985,39.94,-70.8833,462
L10,Centropages typicus,38.14403649,39.94,-70.8833,462
L10,Chaetognatha,8.369871521,39.94,-70.8833,462
L10,Oithona,10.66353381,39.94,-70.8833,462
L10,Pseudocalanus minutus,4.53655658,39.94,-70.8833,462
L11,Acartia,0.992349858,39.7733,-70.8833,1604
L11,Calanus finmarchicus,0.782632553,39.7733,-70.8833,1604
L11,Centropages typicus,32.45944865,39.7733,-70.8833,1604
L11,Chaetognatha,7.141503161,39.7733,-70.8833,1604
L11,Oithona,7.271196158,39.7733,-70.8833,1604
L11,Pseudocalanus minutus,0.348902528,39.7733,-70.8833,1604
